,Wiki name,Wiki URL,Vertical,Primary image,Description,Secondary image 1,Secondary image 2,Secondary image 3,Secondary image 4,Secondary image 5
,Jurassic Park Wiki,http://de.jurassicpark.wikia.com/,Entertainment,http://images2.wikia.nocookie.net/joeplayground/images/6/6e/Jurassic_Park_Wiki.jpg,"Das Jurassic Park Wiki ist eine freie Enzyklopädie, die sich mit allen Themen rund um Steven Spielbergs Jurassic Park Filmen und den Romanen von Michael Crichton beschäftigt. Hier kannst du dich über das komplette Jurassic Park-Franchise informieren.",,,,,
,Narnia Wiki,http://de.narnia.wikia.com/,Entertainment,http://images4.wikia.nocookie.net/joeplayground/images/d/da/Narnia_Wiki.jpg,"Die Chroniken von Narnia ist der Name einer Bücherreihe, die vom irischen Autor Clive Staples Lewis verfasst wurde. In diesen Büchern geht es um die fiktive Welt Narnia und den Reisen verschiedener Menschen zwischen England und Narnia. Darüber hinaus gibt es zahlreiche Adaptionen für Radio, Fernsehen, Theater und Kino, über die wir hier schreiben.",,,,,
,D.Gray-Man Wiki,http://de.dgrayman.wikia.com/,Entertainment,http://images1.wikia.nocookie.net/joeplayground/images/1/18/DGrayMan.jpg,"D.Gray-Man-Wiki ist ein Wiki zu allem rund um die Manga- und Anime-Serie D.Gray-Man, in der der junge Exorzist Allen Walker versucht, den Millenium-Grafen aufzuhalten.Dieser versucht mit seinen Helfern die Welt zerstören.",,,,,
,Uncharted Wiki,http://de.uncharted.wikia.com/,Video Games,http://images3.wikia.nocookie.net/joeplayground/images/7/7a/Uncharted320.jpg,"Uncharted ist eine Action-Adventure-Reihe, in der ihr den Schatzsucher Nathan Drake auf seinen Abenteuern begleitet. Im Uncharted Wiki findest du viele nützliche Informationen zu den Charakteren denen Drake begegnet, den Orten die er bereist und den Gegenständen, die ihm auf seinen Abenteuern behilflich sein können.",,,,,
,Desperate Housewives Wiki,http://de.desperatehousewives.wikia.com/,Entertainment,http://images2.wikia.nocookie.net/joeplayground/images/9/93/Desperate_Housewives.jpg,"Jeder hat seine kleinen schmutzigen Geheimnisse. Besonders die reizenden Diven, die in der Wisteria Lane leben. Erfahre im Desperate Housewives-Wiki alles Wissenswerte über Susan, Lynette, Bree und Gabrielle sowie ihre ""Bekanntschaften"".",,,,,
,Die Tribute von Panem Wiki,http://dietributevonpanem.wikia.com/,Entertainment,http://images4.wikia.nocookie.net/joeplayground/images/c/c6/Tributevonpanemwiki.png,"Die Tribute von Panem Wiki ist eine freie Datenbank und Enzyklopädie zu der weltweiten Bestseller-Trilogie ""Die Tribute von Panem"" (Englisch: The Hunger Games). Dieses Wiki sammelt alle Informationen zu der Trilogie und jeder kann und darf sich hier auch beteiligen.",,,,,
,Die Legende der Wächter Wiki,http://die-legende-der-waechter.wikia.com/,Entertainment,http://images1.wikia.nocookie.net/joeplayground/images/d/df/Waechterderzeitwiki.png,"Willkommen im Die Legende der Wächter-Wiki! Einer Datenbank in deutscher Sprache, in der ihr viele Informationen über das Thema Die Legende der Wächter findet. Die Legende der Wächter ist eine Buchreihe von der Autorin Kathryn Lasky. Die ersten drei Bücher wurden bereits verfilmt.",,,,,
,Fringe Wiki,http://de.fringe.wikia.com/,Entertainment,http://images1.wikia.nocookie.net/joeplayground/images/1/14/Fringewiki.png,"Willkommen im Wiki zu unserer Lieblings-Serie Fringe! Die FBI-Agentin Olivia Dunham geht zusammen mit dem Kleinganoven Peter Bishop und dessen verrücktem Vater Dr. Walter Bishop mysteriösen Vorfällen auf den Grund. Teleportation, Mutation, Telekinese, Pyrokinese und sogar Zeitreisen gehören zu dem sogenanntem Schema, welches aufgeklärt werden soll. ",,,,,
,New Girl Wiki,http://de.newgirl.wikia.com/,Entertainment,http://images3.wikia.nocookie.net/joeplayground/images/4/4d/Newgirlwiki.png,"Im New Girl-Wiki dreht sich alles um die gleichnamige Serie. Nachdem ihr Freund sie betrügt, zieht die quirlige Jess spontan in eine Wohngemeinschaft mit vier Männern. Nun leben fünf komplett verschiedene, aber verrückt-liebenswerte Charaktere zusammen und die Ergeignisse nehmen ihren Lauf. Wir freuen uns über viele Besucher!",,,,,
,Sibuna (Haus Anubis) Wiki,http://de.sibuna.wikia.com/,Entertainment,http://images3.wikia.nocookie.net/joeplayground/images/d/d0/Dashausanubiswiki.png,"Willkommen im Haus Anubis-Wiki, wo ihr euch über das Haus Aunbis, ein Internat mit 9 Bewohnern und dem mysteriösen Verwalter Victor, informieren könnt. Das Haus birgt große Geheimnisse, die der Club der alten Weide löst. Doch dabei fallen ihnen immer wieder Probleme wie Liebe, Hass und Eifersucht in den Weg. Doch am Ende lösen sie alle Rätsel und entschlüsseln die Geheimnisse! ",,,,,
