Wiki name,Wiki URL,Vertical,Image,Description
Dragon Age Wiki,dragonage.wikia.com,Video Games,http://images3.wikia.nocookie.net/joeplayground/images/5/5c/DragonAge320.jpg,"Highly regarded by BioWare themselves, Dragon Age Wiki is the undisputed #1 resource for the Dragon Age franchise. In addition to information on the novels and comics, you will find an unmatched level of depth covering every detail of the games."
DisneyWiki,disney.wikia.com,Entertainment,http://images4.wikia.nocookie.net/joeplayground/images/3/36/Disney320.jpg,"DisneyWiki is a collaborative encyclopedia for everything related to Walt Disney and his work. Here you can find, create, and edit articles on Disney theme parks, film companies, television networks, films, characters, and more! "
Digimon Wiki,digimon.wikia.com,Entertainment,http://images4.wikia.nocookie.net/joeplayground/images/d/dc/Digimon320.jpg,"Digimon Wiki is an in-depth, collaborative encyclopedia on all things Digimon, including the anime series and movies, manga chapters, characters, video games, cards, toys, and music, as well a list of the best Digimon fan fiction on the web."
DC Comics Database,dc.wikia.com,Entertainment,http://images3.wikia.nocookie.net/joeplayground/images/d/d6/DC320.jpg,"With more than 71,000 pages, the DC Comics Database is the largest online database pertaining to DC Comics, covering all the comics, characters, and movies. If you are a member of the DC fanbase, this is your home."
Call of Duty Wiki,callofduty.wikia.com,Video Games,http://images1.wikia.nocookie.net/joeplayground/images/7/7a/CallOfDuty320.jpg,"Call of Duty Wiki is filled with information about the characters, locations, weapons, and history of the world's best-selling first-person shooter series along with useful information for the multiplayer aspect of the games."
Brickipedia,lego.wikia.com,Entertainment,http://images2.wikia.nocookie.net/joeplayground/images/b/b8/Brickipedia320.jpg,"Brickipedia is a popular, well-known website, consisting of over 19,000 pages and counting, with users who strive to show off their knowledge for LEGO. Join the community and share your love of LEGO today."
Bleach Wiki,bleach.wikia.com,Entertainment,http://images2.wikia.nocookie.net/joeplayground/images/1/11/Bleach320.jpg,"Leading the web as the most complete source of knowledge for the Bleach universe, Bleach Wiki covers all of the the manga chapters, anime episodes, characters, races, music, books, games, movies, and more. "
Beyblade Wiki,beyblade.wikia.com,Entertainment,http://images2.wikia.nocookie.net/joeplayground/images/a/ad/Beyblade320.jpg,"Beyblade Wiki is a collaborative database about the various seasons of the Beyblade anime series, as well as every Beyblade toy. The goal of Beyblade Wiki is to become the largest online database for all things Beyblade."
Ben 10 Planet,ben10.wikia.com,Entertainment,http://images2.wikia.nocookie.net/joeplayground/images/8/86/Ben10-320.jpg,"Ben 10 Planet is the ultimate resource for the Ben 10 franchise, consisting of 10,000 pictures and over 1,600 pages of detailed information on the TV series as well as the animated and live-action movies."
Battlefield Wiki,battlefield.wikia.com,Video Games,http://images1.wikia.nocookie.net/joeplayground/images/d/d2/Battlefield320.jpg,"Battlefield Wiki is a collaborative encyclopedia dedicated to the Battlefield series, from Battlefield 1942 to Battlefield 3 and everything in between. You'll find information on the multiplayer maps, single-player levels, weapons, vehicles, and more."
Batman Wiki,batman.wikia.com,Entertainment,http://images4.wikia.nocookie.net/joeplayground/images/7/7e/Batman320.jpg,"Batman Wiki is a fan-made knowledge base devoted to covering the heroes and villains of the entire Batman franchise, including the comics, animated and live-action TV series and movies, video games, toys, and books."
Assassin's Creed Wiki,assassinscreed.wikia.com,Video Games,http://images1.wikia.nocookie.net/joeplayground/images/3/38/AssassinsCreed320.jpg,"With its thriving community, Assassin's Creed Wiki is an effort to document everything about the Assassin's Creed series, from basic game information to guides to the story. Be sure to also check out the Fan section."
The Binding of Isaac Wiki,bindingofisaac.wikia.com,Video Games,http://images3.wikia.nocookie.net/joeplayground/images/b/bd/BindingOfIsaac320.jpg,"The Binding of Isaac Wiki covers all of the items, rooms, monsters, bosses, secrets, achievements, playable characters and everything else in Edmund McMillen and Florian Himsl's game, The Binding of Isaac. "
Anno 2070 Wiki,anno2070.wikia.com,Video Games,http://images2.wikia.nocookie.net/joeplayground/images/1/1f/Anno2070-320.jpg,"Anno 2070 Wiki is a comprehensive guide for the city-building strategy game, Anno 2070. You'll find information on each of the factions and their buildings, as well as guides for combat, power, production, research, and much more."
Pokemon Tower Defense Wiki,pokemontowerdefense.wikia.com,Video Games,http://images1.wikia.nocookie.net/joeplayground/images/f/fb/PokemonTowerDefense320.jpg,"Pokemon Tower Defense Wiki is the #1 resource for players of PTD by Sam and Dan Games. Maximize your success by reading stats and info on all of the Pokemon, Technical Machines, game mechanics, abilities, levels, and more. "
Empires & Allies Wiki,empiresandallies.wikia.com,Video Games,http://images2.wikia.nocookie.net/joeplayground/images/b/b9/EmpiresAllies320.jpg,"Empires & Allies Wiki is where players share their knowledge to aid the community. With more than 2,200 pages, the wiki's depth of information covers every aspect of the game. If it's in the game, you'll find it here."
House of Anubis Wiki,the-house-of-anubis.wikia.com,Entertainment,http://images3.wikia.nocookie.net/joeplayground/images/e/e1/HouseOfAnubis320.jpg,"House of Anubis Wiki is the place to be for fans of the popular Nickelodeon drama. While the wiki focuses on the English version and its episodes, characters and cast, it also covers the previous Dutch and German versions."
