,Wiki name,URL,Vertical,Primary image,Description
,Fairy Tail Wiki,http://es.fairytail.wikia.com,Entertainment,http://images.wikia.com/joeplayground/images/1/1d/ES_Fairy_Tail_480.png,"Fairy Tail Wiki es la enciclopedia en español dedicada a la franquicia creada por Hiro Mashima. El proyecto recopila toda la información sobre el manga original; de aventuras, fantasía y acción; y también sus adaptaciones al anime y películas; que tratan sobre el joven mago Natsu Dragnell y su gato Happy."
,Simpson Wiki en Español,http://es.simpsons.wikia.com,Entertainment,http://images.wikia.com/joeplayground/images/3/36/ES_Simpsons_480.png,"Simpson Wiki en Español es la enciclopedia en español dedicada a la exitosa franquicia de Los Simpson. Este proyecto recopila información sobre la creación de Matt Groening; desde la famosa serie de animación, hasta otros productos derivados como la saga de videojuegos o la película."
,Disney Wiki,http://es.disney.wikia.com,Entertainment,http://images.wikia.com/joeplayground/images/8/86/ES_Disney_480.png,"Disney Wiki es la enciclopedia en español dedicada a la compañía The Walt Disney Company. Es un proyecto que trata de recopilar toda la información referente a sus productos; desde todos sus personajes como Mickey Mouse; e incluyendo películas, series, videojuegos, parques temáticos y merchandising."
,Saint Seiya,http://es.saintseiya.wikia.com,Entertainment,http://images.wikia.com/joeplayground/images/c/c3/ES_Saint_Seiya_480.png,Saint Seiya Wiki es la enciclopedia en español dedicada a la franquicia de Los Caballeros del Zodiaco. Este proyecto recopila toda la información sobre la creación de Masami Kurumada; originalmente un manga adaptado a anime; y que también ha derivado en una OVA y algunas películas animadas.
,Los Juegos del Hambre Wiki,http://es.losjuegosdelhambre.wikia.com,Entertainment,http://images.wikia.com/joeplayground/images/6/69/ES_Hunger_Games_480.png,Los Juegos del Hambre Wiki es la enciclopedia en español dedicada a la franquicia creada por Suzanne Collins. Se trata de un proyecto colaborativo en el que se recopila toda la información relacionada con la trilogía literaria y sus posteriores adaptaciones cinematográficas.
,Phineas y Ferb Wiki,http://es.phineasyferb.wikia.com,Entertainment,http://images.wikia.com/joeplayground/images/8/87/ES_Phineas_and_Ferb_480.png,"Phineas y Ferb Wiki es la enciclopedia dedicada a la serie animanda de Disney Channel. Este proyecto trata de recopilar toda la información relacionada; como ahora las aventuras de sus protagonistas y sus amigos, los actores, la lista de episodios y los lugares que aparecen."
,Wiki Padventure,http://es.padventure.wikia.com,Entertainment,http://images.wikia.com/joeplayground/images/8/85/ES_Padventure_480.png,Wiki Padventure es la enciclopedia en español dedicada a PAdventure. En este proyecto se trata de recopilar toda la información referente a este sistema de juego; que involucra a todos los pokémons de las tres generaciones y otros elementos de la franquicia de Nintendo.
,Marvel Wiki,http://es.marvel.wikia.com,Entertainment,http://images.wikia.com/joeplayground/images/e/ea/ES_Marvel_480.png,"Marvel Wiki es la enciclopedia en español dedicada a la compañía de cómics homónima. Se trata de un proyecto que intenta recopilar toda la información acerca de sus publicaciones; incluyendo personajes antológicos como Spiderman, Capitán América o Lobezno; y sus apariciones en cómics y películas."
,Crepúsculo,http://crepusculo.wikia.com,Entertainment,http://images.wikia.com/joeplayground/images/4/4e/ES_Twilight_480.png,Crepúsculo Wiki es la enciclopedia en español dedicada a la franquicia creada por la escritora Stephenie Meyer. Este proyecto recopila toda la información referente a la tetralogía literaria y sus tres adaptaciones cinematográficas; como ahora los personajes y los actores que los interpretan.
,Hora de Aventura Wiki,http://es.horadeaventura.wikia.com,Entertainment,http://images.wikia.com/joeplayground/images/2/2b/ES_Adventure_Time_480.png,"Hora de aventura Wiki es la enciclopedia en español dedicada a la serie animada de televisión creada por Pendleton Ward. Este proyecto engloba información sobre las aventuras de Finn y Jake a través de sus capítulos; combinando aventura y fantasía, comedia surrealista, ciencia ficción y humor absurdo."
